temperature	PNCA	NAPRT	NMNAT1-NaMN	NADS	SIRT	NAMPT	NMNAT1-NMN	NT5-NaMN	NT5-NMN	NRK1-NMN	PNP-NR	NRK1-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	pathway
50.0	2.1840422870853977e-08	2.1840573043504896e-08	2.1840422870853987e-08	2.1840422870853977e-08	2.1119198161924548e-08	4.2736892370890125e-18	-2.6713046444548716e-10	1.5499171438718746e-13	9.458832753444938e-11	3.593171447157732e-12	9.096601020193388e-11	5.890460582059616e-15	1.4910082985589948e-13	1.761353128849865e-10	1.0713969357349383e-15	4.363285686817541e-19	2.914588535775609e-14	4.5409424423084e-10	PNCA
50.0	2.183940916415162e-08	2.1839562634886655e-08	2.183940916415163e-08	2.1839409164151626e-08	2.1119299904259957e-08	1.5605979650904646e-20	-2.660004451476929e-10	1.603869678936999e-13	9.459134570948513e-11	4.7318643109131195e-12	8.984618120455311e-11	8.024924216525114e-15	1.5236182096778882e-13	1.7614096375806793e-10	1.108692268529392e-15	2.0600135624409228e-19	1.330019401889411e-14	4.541088147506312e-10	PNCA
50.0	2.175446117809677e-08	2.175446906006781e-08	2.1754461178096763e-08	2.1754461178096766e-08	2.1119108799710265e-08	2.5425568434958985e-20	-1.812446834898674e-10	1.4399713633939674e-13	1.048177103367061e-10	9.971357270506767e-11	5.0829428470433966e-12	1.3701206751225644e-13	6.983426386914885e-15	1.761405462435212e-10	8.982792617618057e-16	2.659609451913216e-19	2.1194784595012196e-14	4.5410769453675995e-10	PNCA
50.0	2.1757277469906175e-08	2.175729149638464e-08	2.1757277469906178e-08	2.1757277469906175e-08	2.11196846066086e-08	9.06908659576287e-21	-1.8352456581629085e-10	1.653698874831183e-13	9.4582959039256e-11	8.71836547206504e-11	7.36703405368898e-12	1.5248652951512506e-13	1.2882826238824375e-14	1.761252615559725e-10	1.143137297646491e-15	5.154143055443486e-19	3.227026491661737e-14	4.5406829743207005e-10	PNCA
50.0	2.182024852813779e-08	2.1820350547800584e-08	2.1820248528137797e-08	2.1820248528137794e-08	2.111892009419155e-08	1.9948777509508954e-20	-2.472201601368803e-10	4.15188807675897e-13	2.9182847849617325e-10	2.2074908091797583e-10	7.105504428638384e-11	3.140993371604343e-13	1.0108906802152767e-13	1.761407629097751e-10	9.302736190939295e-16	3.164480769650145e-19	2.4353291813679055e-14	4.541082734782192e-10	PNCA
50.0	2.178870407454151e-08	2.1788938849853032e-08	2.178870407454151e-08	2.1788704074541512e-08	2.1117504748657173e-08	6.000058334674063e-18	-2.1713256544373264e-10	5.331000439702403e-13	9.458258917180345e-11	5.3574586785028335e-11	4.099642196423906e-11	3.020098720954444e-13	2.310896009418719e-13	1.7612456906057237e-10	3.685125797616467e-15	5.962033818596369e-19	1.158042253604932e-14	4.540667604370495e-10	PNCA
50.0	2.175048239175265e-08	2.175048616826486e-08	2.1750482391752646e-08	2.1750482391752646e-08	2.11181566611443e-08	1.8092529176228178e-18	-1.7824067851734247e-10	1.2843139922403456e-11	9.015340311003664e-09	9.013231396428924e-09	1.997308838858393e-12	1.2840294304128175e-11	2.8436104880002313e-15	1.7613176514526837e-10	9.314504633438115e-16	1.4512640033451926e-18	1.1160573588134261e-13	4.5408505269759744e-10	PNCA
50.0	2.1764853382173857e-08	2.1764887831365287e-08	2.176485338217386e-08	2.176485338217386e-08	2.1119598773083418e-08	2.9492251851762995e-19	-1.911495103932218e-10	2.671807865859106e-12	1.2117164038159688e-09	1.1967064161986684e-09	1.4971824924164063e-11	2.6388005526042e-12	3.3006658614701513e-14	1.761395231416587e-10	1.441764288775729e-15	7.684246179218364e-19	3.816269313602626e-14	4.541050986264043e-10	PNCA
50.0	2.2636502438064985e-08	2.2664044863762762e-08	2.263650243806498e-08	2.263650243806499e-08	2.1111891307873837e-08	4.9961788493322524e-18	-1.0707349100588453e-09	2.253613665133959e-10	7.324435858559811e-09	6.429748491122406e-09	8.946504444912525e-10	1.9783904889025298e-10	2.752230673370136e-11	1.7604754759706074e-10	2.010859455698225e-14	1.0374406039450836e-17	3.692294615391681e-14	4.5387622015286086e-10	PNCA
50.0	2.221042185065725e-08	2.2210537335053148e-08	2.221042185065725e-08	2.221042185065725e-08	2.148608222827154e-08	5.032115607002951e-18	-2.7023582948949564e-10	1.15289053634083e-13	9.459031253170003e-11	4.935074508663294e-13	9.40857868856661e-11	6.016053986031515e-16	1.146873204241262e-13	1.7613902935826234e-10	7.96947688819971e-16	1.2266973565709385e-19	1.1018195167616564e-14	4.5410379297872665e-10	PNCA
50.0	2.17460036430612e-08	2.174600461140951e-08	2.1746003643061212e-08	2.1746003643061206e-08	2.111569628648649e-08	5.515833357600292e-20	-1.7622567396926093e-10	1.2309911628851757e-13	9.458573477482212e-11	9.449051922289788e-11	9.017666219948883e-14	1.2297006491290593e-13	1.1735271646017432e-16	1.7613045851084626e-10	8.509356350473258e-16	5.989208911673574e-20	5.038889724776271e-15	4.540816825670972e-10	PNCA
50.0	2.174913738054311e-08	2.174913965027381e-08	2.1749137380543106e-08	2.1749137380543103e-08	2.111855690280312e-08	5.734390646763465e-18	-1.7647390653652566e-10	2.2128772891015082e-13	9.459088039224263e-11	9.425706059404958e-11	3.1615376176196857e-13	2.2054651699996672e-13	7.396768424735198e-16	1.7614009255310605e-10	1.5296763221622655e-15	3.7750120085040127e-19	1.7666036431074306e-14	4.54106571123073e-10	PNCA
50.0	2.177044373531485e-08	2.177047303597356e-08	2.177044373531485e-08	2.1770443735314848e-08	2.111930996549764e-08	6.581720717151258e-20	-1.9702518698516292e-10	1.3345236077606662e-13	9.782048913359412e-11	7.693619272577367e-11	2.0814490385553075e-11	1.0504374711720151e-13	2.840773819284682e-14	1.761408907462195e-10	8.920505353855063e-16	8.70159814784936e-19	6.98060222674188e-14	4.541085827289878e-10	PNCA
50.0	2.1771749879019116e-08	2.1771868717928767e-08	2.1771749879019122e-08	2.177174987901912e-08	2.1119354788770688e-08	1.22529810689409e-20	-1.983390142191807e-10	4.914778970997131e-13	9.458039420442557e-11	7.236183944316645e-11	2.2215155493100975e-11	3.760363018563015e-13	1.1544133757658494e-13	1.761204594678592e-10	3.3974056578523697e-15	1.6133665388413207e-19	3.399268158173701e-15	4.540560760315623e-10	PNCA
50.0	2.1779347960281038e-08	2.1779401169200547e-08	2.177934796028104e-08	2.1779347960281038e-08	2.1114836208623263e-08	1.6489202909090622e-18	-2.1043218030915271e-10	1.4423967083800254e-13	9.458529600150996e-11	6.028275124646652e-11	3.42168546016786e-11	9.202780821840194e-14	5.2210653293248434e-14	1.7612963700412994e-10	9.970721657134251e-16	1.194222177142614e-18	8.569015336483377e-14	4.5407957154752335e-10	PNCA
50.0	2.1748914976452363e-08	2.1748916273996955e-08	2.1748914976452366e-08	2.1748914976452366e-08	2.111851447958927e-08	2.4477898626342326e-20	-1.7629462690482218e-10	1.5331551669682585e-13	9.459074223782726e-11	9.443594916166614e-11	1.4660129178292408e-13	1.530700375955273e-13	2.3761335583111645e-16	1.7613983388913016e-10	1.0598100202936365e-15	1.2126826470881295e-19	8.191784378182938e-15	4.5410586992228695e-10	PNCA
50.0	2.184106943115458e-08	2.1841334096523356e-08	2.1841069431154576e-08	2.1841069431154586e-08	2.111912823428306e-08	1.7352073189813543e-20	-2.678368771891714e-10	2.710851216946505e-13	9.459039688012476e-11	2.892707057824374e-12	9.167110256335758e-11	8.293660040644891e-15	2.627907579390326e-13	1.761391872822613e-10	1.873907357861283e-15	6.9612414221294155e-19	2.6587258942792604e-14	4.541043197843094e-10	PNCA
50.0	2.1748034083678588e-08	2.1748035501108346e-08	2.1748034083678588e-08	2.1748034083678588e-08	2.111772855889847e-08	1.6164435199218495e-17	-1.7620167038835175e-10	1.8798515138820306e-13	9.459032147322839e-11	9.452768128663288e-11	5.932521357267392e-14	1.8786554814429153e-13	1.179015309454781e-16	1.761390460993208e-10	1.2994680651570243e-15	6.017218187518759e-20	3.314973022833715e-15	4.5410385465863556e-10	PNCA
50.0	2.183984330074125e-08	2.1840066991676664e-08	2.183984330074125e-08	2.1839843300741247e-08	2.1117116031088886e-08	6.73826443790686e-20	-2.6863197078725624e-10	2.2714530739571203e-13	9.458853544640033e-11	2.0922669019696977e-12	9.249425452731621e-11	5.0245408304675484e-15	2.2212078001343603e-13	1.7613570215460893e-10	1.5701675866388259e-15	4.417466089739449e-20	2.0140171144176665e-15	4.54095299020706e-10	PNCA
50.0	2.1842167480976335e-08	2.1842332589339076e-08	2.1842167480976335e-08	2.1842167480976338e-08	2.11187327675946e-08	1.0548816311447871e-17	-2.6932840363260843e-10	1.6642557743353482e-13	9.459082539434135e-11	1.4024008890783782e-12	9.318261553867706e-11	2.4676493333960347e-15	1.639578186479283e-13	1.761399895815445e-10	1.1504348814579157e-15	9.335374108304533e-20	5.808966585885017e-15	4.5410630984374594e-10	PNCA
50.0	2.1749335918495846e-08	2.1749339045438914e-08	2.1749335918495842e-08	2.174933591849585e-08	2.111887519564817e-08	1.0686068133331046e-17	-1.763597065039501e-10	3.423157249968659e-13	9.458971726768114e-11	9.436791500699313e-11	2.1006429140999356e-13	3.415547878836475e-13	7.60256170547995e-16	1.7613791485646906e-10	2.366298894177908e-15	3.8800405915141754e-19	1.1737969278045992e-14	4.5410101641658396e-10	PNCA
