NA	NaMN	NAM	NAD	NaAD	NMN	NAR	H2O	ADP	ATP	PPi	PRPP	AMP	Gln	Glu	H3_ac	H3_deac	Pi	NR	temperature	pathway	objective
7.190407738867222e-15	4.29489068852761e-12	0.1862474599825867	0.1030136388293896	1.235236086482099e-11	0.010738770134264	4.053156814096752e-16	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.3103710478097302e-07	50.0	NAMPT	min_ratio
3.660439898164562e-13	2.2164535594716374e-13	0.1886253035891657	0.1009579172201256	8.643821948871311e-14	0.01041677707814	-9.415706764220534e-18	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.11189450001427e-09	70.0	NAMPT	min_ratio
6.964051240683838e-13	1.4429989511886426e-12	0.1877108100378947	0.10207665957789	4.390849240277677e-12	0.0102112488278505	1.4691272522654645e-15	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.2815498330175348e-06	50.0	NAMPT	min_ratio
2.3846312547786543e-15	4.179601885790788e-11	0.1860939796782864	0.1035012115017205	1.2798624186821478e-10	0.0104045959723519	6.8401915287515505e-15	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.1267784953868852e-07	50.0	NAMPT	min_ratio
9.191924888484438e-11	1.3977629120851206e-10	0.189504611275605	0.1002545660296473	9.105046607110668e-11	0.0102408209498193	1.5108241979752641e-16	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.4221822896004515e-09	50.0	NAMPT	min_ratio
3.7893053704508914e-12	9.456758176684595e-10	0.1871363506293926	0.1023345982417862	9.35654106190015e-10	0.0105290450594109	3.0150595221731168e-15	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	4.1842879824456694e-09	50.0	NAMPT	min_ratio
5.107508238074993e-13	3.841411679259908e-13	0.188908291642988	0.1009882501652176	1.168603491116449e-12	0.0101034565567896	-8.280212857581269e-18	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.6329412731162764e-09	50.0	NAMPT	min_ratio
6.27016336627267e-11	1.4398699701394816e-07	0.1891773704891639	0.1007304242499683	4.40484578960102e-07	0.0100915557936342	7.426561988924743e-12	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	6.492552937609002e-08	50.0	NAMPT	min_ratio
7.25179850459534e-12	2.8450549517436325e-13	0.1898702597159297	0.1001002293887586	6.312244040747656e-13	0.0100295070269231	-8.973505947483851e-18	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	3.860221008723909e-09	50.0	NAMPT	min_ratio
1.4843082820185814e-11	6.0507404746115995e-12	0.189663607958013	0.1001667788571663	1.3214023945445904e-11	0.010168459469361	5.511120677528184e-15	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.1536813463204334e-06	50.0	NAMPT	min_ratio
2.3304861475039404e-15	1.0277288377768861e-13	0.012958217369576	0.2608860804557246	1.7324936823189522e-13	0.0261556984067166	1.7867983858252685e-19	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	3.767704329926319e-09	70.0	NAMPT	min_ratio
8.136743569437534e-12	4.709631982547743e-09	0.1893498232869761	0.1005674269314813	1.4384729696236225e-08	0.0100823828419562	6.393322171549134e-12	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	3.478306945263027e-07	50.0	NAMPT	min_ratio
2.9739704624510626e-12	5.464931004197882e-13	0.1648190497928002	0.1227696924961328	2.9642264784122564e-13	0.0124112550711035	5.220692580978932e-18	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.6361465328743892e-09	50.0	NAMPT	min_ratio
2.0661690644973497e-12	5.6625159494030764e-11	0.1826306241091547	0.1065110355347728	1.7281499939207678e-10	0.0108583341918725	2.514057680178278e-16	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	5.9326934075692965e-09	50.0	NAMPT	min_ratio
3.5163813970252504e-15	2.662833869852324e-13	0.1893004690275321	0.1002875836164616	1.1136345309360079e-13	0.0104118110591712	2.5644742238216967e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.362964537970858e-07	50.0	NAMPT	min_ratio
1.7284091531723261e-09	1.362304207937988e-07	0.1881877938928484	0.1016386590427358	4.159274469626704e-07	0.0101729722229775	2.2493393611738952e-12	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.095291195838139e-08	50.0	NAMPT	min_ratio
2.1829531343466876e-14	1.2363786339884144e-13	0.1897653199439925	0.1002091309510076	3.7030317463483365e-13	0.0100255334430322	1.6390739787373922e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.5661451818063185e-08	70.0	NAMPT	min_ratio
3.602713421330064e-16	4.4216193094978404e-13	0.1898094079767038	0.1001671655779486	1.346456903238994e-12	0.0100213364336609	7.566437099696024e-16	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.090009896926331e-06	50.0	NAMPT	min_ratio
1.21679904832855e-15	5.1888182172316366e-12	0.1873715175716889	0.1023887731683273	1.5889509956543273e-11	0.0102397079015557	2.4602230207038317e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.3373485258973072e-09	50.0	NAMPT	min_ratio
1.5853156010926802e-14	1.6911376588147173e-11	0.1896996654406972	0.10025917074348	5.179889063134021e-11	0.0100408884224342	3.732526288615836e-15	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.753246585812072e-07	50.0	NAMPT	min_ratio
3.916504940285087e-12	6.550821574120664e-10	0.1841341912800587	0.1039908695141499	5.2884168254230676e-11	0.0118749280754828	4.599654889585369e-15	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.0418421073949002e-08	50.0	NAMPT	min_ratio
9.392296448540534e-11	2.201018836160582e-09	0.1898986410844482	0.1000774328919455	6.6847755838771675e-09	0.0100234706740767	7.861483331230058e-13	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	4.463690260346199e-07	50.0	NAMPT	min_ratio
7.64191431216361e-13	2.8020580988213894e-11	0.1874947168057984	0.1004945836172567	8.238302343037464e-11	0.0120106952225318	8.702044138665519e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	4.243245129101337e-09	50.0	NAMPT	min_ratio
1.356146994295053e-14	1.6788274689279757e-13	0.1865187863394686	0.1030949612422446	3.667317562676679e-13	0.0103862413044257	1.6686633574120665e-18	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.1113312877460336e-08	50.0	NAMPT	min_ratio
2.2209490668298694e-13	2.2974727296555918e-11	0.1896131589815639	0.1002415717876134	7.018401623569886e-11	0.0101452351890617	6.191348417612244e-16	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	3.3948379407207455e-08	50.0	NAMPT	min_ratio
2.9921955034995026e-12	6.003962147398557e-14	0.1867768105626017	0.1029169843368138	1.563373368800995e-13	0.0103061827307139	4.882853967259836e-18	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.2366662023921983e-08	70.0	NAMPT	min_ratio
5.7233059304567e-17	3.4277272369846253e-12	0.0005237586297447	0.2701238073069737	9.76498291151984e-12	0.0293524139164551	3.120302370341086e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.01336335213143e-08	50.0	NAMPT	min_ratio
4.013073290858955e-09	1.271353929892178e-10	0.1896440506596004	0.1002630115685985	2.2374677770405317e-10	0.0100929247939961	8.697432721209803e-16	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	8.613848463001808e-09	50.0	NAMPT	min_ratio
2.9390585310577653e-16	8.300882071986427e-13	0.0708064041906644	0.2082786067423162	2.3536843366760298e-12	0.0209149372049203	3.678985865632336e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	5.185891493040479e-08	50.0	NAMPT	min_ratio
1.4213479398610117e-15	1.4159301898920742e-12	0.1852871292542175	0.1040371507332221	3.827776303065653e-12	0.0106756945430922	1.4338929749065482e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	2.546422296433224e-08	50.0	NAMPT	min_ratio
1.814919347524557e-11	4.977053644125323e-11	0.1860526412081571	0.1028692905098164	3.197589161823657e-11	0.0110780666327879	6.644235403073534e-17	1.000000000000001	1.000000000000001	1.000000000000001	0.012	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.000000000000001	1.5493428335732467e-09	50.0	NAMPT	min_ratio
