	metabolite	PNCA	PNCB	NADD-NaMN	NADE	SIRT	NAMPT	NADD-NMN	NT5-NaMN	NT5-NMN	NADR-NMN	PNP-NR	NADR-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	Summation Error	temperature
49	NaMN	-0.1919432223012521	0.0943765505381001	0.0451634997487602	-4.302621628947397	0.0451635013974927	0.094411051651587	inf	inf	-1.24945092015537e-310	1.0635294425628266e-94	3.483440164960454e+228	7928846488660339.0	4.443806195307074e+252	5.293695428895758e+180	3.6806590670658433e+180	0.0	0.0	1.2026213419118e-311	6.384815116218034e+20	50.0
50	NMN	2.8787311196114875e-05	-0.0007867707894789	0.0001051316249228	9.477131575742547e-05	0.0001051316171672	0.0001583314050547	inf	-inf	7.2020768756615385e+252	8288597344216406.0	3978982.7926151054	5.852818101132085e+63	2.3095566190001305e+161	7.053156512472963e+87	1.2076469015100165e-153	0.0	0.0	9.27923374638954e+199	7.709546065148888e-43	50.0
51		0.9006493568489216	-2.323306688215588	3.289050886522522	2.9656949435963065	3.2890508607014914	-2.3271453729937317	inf	-inf	7.932538912301001e+68	3.819482591556362e+180	1.1415631926304748e+243	6.384648614886652e+20	3.452272687346395e+132	2.5196941890073337e+180	0.0	1.202616888009e-311	-1.500408512612236e-154	1.0635294425628266e-94	3.4834401649603766e+228	50.0
52	NAD	0.3971362928932976	2.181345648067758	-3.271931232389558	1.3077997975041555	-3.271931208767449	2.184147323844124	-inf	inf	1.0766265412448132e+277	2654876.714460901	9.040504396019611e+223	6.982031352718052e+252	1.4376319545062692e+180	6.964076089067324e+252	7.4e-323	0.0	6.95194987012043e-310	0.0	4e-323	50.0
53	NaAD	-6.054612467436811e-12	-3.3256096090390386e-11	4.9891567931199365e-11	-1.9938295997067528e-11	4.988193785748433e-11	-3.3298809135071855e-11	inf	-inf	2.3164910662874864e-152	1.6779200365728925e+243	9.750238216029356e+199	5.5199979851301406e+228	4.880463037154749e+252	2.1739182640308068e-100	6.21648314439745e-310	1.2026168883645e-311	0.0	7.4e-323	7.4e-323	50.0
54	NR	-3.2036099097460067e-10	-1.761411824785688e-09	4.087160719810488e-08	-1.054972982948852e-09	-1.1831223095607447e-09	-1.7619029215477603e-09	-inf	inf	1.4376469339394953e+180	2.1130967136856422e+214	2.1502896782180453e-13	4.443806195307074e+252	7.50048895508258e+247	7.2020768756615385e+252	6.95194969632014e-310	0.0	1.076626217248244e+277	0.0	6.95194986536514e-310	50.0
55	NAR	1.5603511033910338e-10	-7.76268245323919e-11	-3.7302359244074046e-11	3.500593438928513e-09	-3.7302360600715856e-11	-7.765513078127838e-11	-inf	inf	1.37947153028908e+219	6.384817653809667e+20	6.193442051059869e+175	2.3095566190001305e+161	1.1782872971038268e+180	7.932538912301001e+68	0.0	1.2026225172663e-311	1.202615092361e-311	1.6779197143673458e+243	0.0	50.0
56	NAM	-0.8289849955753532	1.016917616277801	1.426415238874451	1.0970894112796723	1.426415432767334	0.9630853411893824	inf	inf	0.0	9.27923374638954e+199	4.803116466441571e+226	7.4e-323	0.0	7.4e-323	0.0	0.0	0.0	7.4e-323	0.0	50.0
57	NaMN	0.0003504700152988	0.0001839262260358	0.0015725096662751	-1.1399620302586817	0.0015725098800236	0.0001245354882171	inf	inf	-1.4989518100400462e-154	1.0635294425628266e-94	3.483440164960454e+228	1.202615089926e-311	4.4438055886566655e+252	0.0	0.0	0.0	0.0	0.0	6.384815116218042e+20	50.0
58	NMN	6.806324218223694e-07	-0.0600403883732393	2.1907970412302164e-06	2.6365098253136233e-08	2.1907972003938206e-06	3.091464791569536e-08	inf	-inf	6.9519498711544e-310	0.0	3e-323	5.852818101132028e+63	1.2026150902146e-311	7.0531553666895585e+87	0.0	2.1219957905e-314	0.0	9.27923374638954e+199	9.57036585158866e-308	50.0
