	metabolite	PNCA	PNCB	NADD-NaMN	NADE	SIRT	NAMPT	NADD-NMN	NT5-NaMN	NT5-NMN	NADR-NMN	PNP-NR	NADR-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	Summation Error	temperature
2202	NMN	4.647028875616774e-13	-inf	2.3273588828017644e-13	-inf	2.3272503637160137e-13	inf	inf	-inf	6.9519498711544e-310	0.0	3e-323	8.66581754262e-312	8.665567740775e-312	0.0	2.152948902176e-312	2.1219957905e-314	0.0	9.27923374638954e+199	7.518699841903216e-68	80.0
2203		6.630974346546495e-10	-inf	3.3209729186679195e-10	-inf	3.320818069775206e-10	-inf	inf	-inf	0.0	7.4e-323	7.4e-323	0.0	0.0	8.66588928443e-312	8.665697647906e-312	8.665746402936e-312	-1.4931255706559982e-154	1.0635294425628266e-94	3.483440164949899e+228	80.0
2204	NAD	2.321184805548888e-07	inf	1.92758300656584e-11	inf	-4.391029985993491e-12	inf	inf	inf	8.65774282714e-312	0.0	6.95194986536514e-310	0.0	6.95194986538175e-310	0.0	0.0	0.0	6.9519498715042e-310	0.0	3e-323	80.0
2205	NaAD	-1.004403407941809	-inf	9.690256690326992e-06	-inf	9.689804589121551e-06	-inf	inf	-inf	8.66556773789e-312	8.657742827143e-312	0.0	7.4e-323	0.0	0.0	6.21648314439745e-310	0.0	0.0	7.4e-323	7.4e-323	80.0
2206	NR	6.695450815073215e-07	inf	-7.700486891967124e-05	inf	7.701132091743759e-06	inf	-inf	-inf	0.0	8.66588929344e-312	8.65774282714e-312	0.0	0.0	8.65774282714e-312	0.0	0.0	1.076626217248244e+277	0.0	6.95194986536514e-310	80.0
2207	NAR	-5.4763613884325804e-21	-inf	-2.7427112386585184e-21	inf	-2.74258335270195e-21	-inf	-inf	inf	6.95194987116864e-310	0.0	8.66556773947e-312	0.0	6.3244936108728e-310	0.0	7.4e-323	0.0	8.665567743977e-312	1.6779197143673458e+243	0.0	80.0
2208	NAM	-7.382304058141734e-06	0.9999872351037178	-3.5422934656497643e-06	1.000619887922813	-3.5422930537419717e-06	0.9999869807797104	-inf	inf	8.66556767623e-312	0.0	3.06234119232116e-310	7.4e-323	0.0	7.4e-323	0.0	0.0	0.0	7.4e-323	0.0	80.0
2209	NaMN	6.428491837250327e-06	1.593504546156974e-05	3.1842551551106583e-06	-1.0006205497936496	3.184254808479661e-06	1.593503994585327e-05	inf	inf	-1.6307602258116e-311	1.935053730481272e+166	-2.17303047617743e-310	8.66556773789e-312	6.95187041078133e-310	0.0	0.0	0.0	0.0	0.0	6.384815116218036e+20	80.0
2210	NMN	3.530401417331724e-13	-5.587573152236374e-07	1.7487301271364117e-13	-3.948467717951484e-08	1.7487300192911734e-13	7.278994074322118e-13	inf	-inf	6.9519498617786e-310	0.0	0.0	8.66581754262e-312	8.665567740775e-312	0.0	2.152948902176e-312	2.1219957905e-314	0.0	9.27923374638954e+199	7.518699841903078e-68	80.0
2211		1.1768465915200476e-06	-1.000001716831295	5.829328180878473e-07	-0.0706647795334175	5.829327845544395e-07	-1.0000020212601457	inf	-inf	0.0	7.4e-323	7.4e-323	0.0	0.0	8.66588928443e-312	8.665697647906e-312	8.665746402936e-312	-2.1739935768354e-311	1.0635294425628266e-94	3.483440164949899e+228	80.0
2212	NAD	0.0086388526782768	0.0086173196659355	-6.74848368982046e-07	0.0086227715071096	-6.769513880880046e-07	0.0086173174746133	-inf	inf	8.65774282714e-312	0.0	6.9519498617786e-310	0.0	6.95194986205886e-310	0.0	0.0	0.0	6.9519498617786e-310	0.0	0.0	80.0
2213	NaAD	-1.034128704399081	-1.031551058236487	8.10127519691917e-05	-1.0322036801812244	8.101274231000523e-05	-1.031550795920477	inf	-inf	8.66556773789e-312	8.657742827143e-312	0.0	7.4e-323	0.0	0.0	6.21648314439745e-310	0.0	0.0	7.4e-323	7.4e-323	80.0
2214	NR	1.30106141260416e-09	1.3648567688438036e-09	-1.896370911072763e-07	1.306718097123938e-09	1.8963600929002088e-08	1.3648475920549124e-09	-inf	inf	0.0	8.66588929344e-312	8.65774282714e-312	0.0	0.0	8.65774282714e-312	0.0	0.0	1.076626217248244e+277	0.0	6.9519498617786e-310	80.0
2215	NAR	-1.0702153700388891e-13	-2.414054984462511e-13	-5.30114795156893e-14	1.414891363230201e-08	-5.3011473744975866e-14	-2.4140541269989625e-13	-inf	inf	6.95194986205886e-310	0.0	8.66556773947e-312	0.0	6.32449361086873e-310	0.0	7.4e-323	0.0	8.665567743977e-312	1.6779197143673458e+243	0.0	80.0
2216	NAM	-4.29319250120885e-09	inf	-3.3533020260014674e-09	inf	-3.424056642256496e-09	inf	-3.34981308608758e-09	inf	0.0	0.0	6.377187036675641e-67	7.4e-323	0.0	7.4e-323	0.0	0.0	0.0	1.4403395576571117e+214	1.8044389576457636e+219	80.0
2217	NaMN	2.453226568727765e-12	inf	8.256860913013801e-12	-inf	8.43142643454787e-12	inf	8.248270119232924e-12	inf	-1.5245942902596634e-154	0.0	2.47e-322	8.66510820111e-312	0.0	0.0	0.0	0.0	-6.334085415668872e-309	4.810551760417881e+228	6.384817655096139e+20	80.0
2218	NMN	9.990144726173396e-12	-inf	3.362397772640134e-11	-inf	3.433485166141112e-11	inf	3.358899429551567e-11	-inf	6.9519498727627e-310	0.0	4.4e-323	8.665108201583e-312	8.665108203994e-312	0.0	0.0	2.1219957905e-314	8.665108215654e-312	9.279233746389736e+199	7.727819902446094e+228	80.0
2219		2.038598666133216e-09	-inf	6.861341654397467e-09	-inf	7.0064032821726005e-09	-inf	6.854202779719638e-09	-inf	0.0	7.4e-323	7.4e-323	8.66510821186e-312	0.0	8.6653369086e-312	8.665276342003e-312	8.66522942806e-312	-9.99440597994232e-150	1.0635294425628266e-94	3.483440164960454e+228	80.0
2220	NAD	0.8987554903011697	inf	-1.422968104112195	inf	-1.45310862711404	inf	-1.42148757926061	inf	4.260339375173062e+180	0.0	6.95194986536514e-310	0.0	6.95194986538175e-310	0.0	8.665108199053e-312	0.0	7.2020768756615385e+252	8288597344216406.0	3978982.7926151054	80.0
2221	NaAD	-0.9000962516437176	-inf	1.4529038872975255	-inf	1.4524069218539686	-inf	1.4513922157308008	-inf	8.66510820111e-312	8.657742827143e-312	0.0	7.4e-323	0.0	0.0	8.66510778736e-312	0.0	7.932538912301001e+68	3.819482591556362e+180	1.1415631926304748e+243	80.0
2222	NR	0.0005634841344228	inf	-0.0287008822627638	inf	0.0019579676684714	inf	-0.0286710203974771	inf	0.0	8.66533716188e-312	0.0	0.0	8.66510819526e-312	0.0	0.0	0.0	1.0766265412448132e+277	2654876.714460901	9.040504396019611e+223	80.0
2223	NAR	-1.997449047378705e-12	-inf	-6.722843774499191e-12	inf	-6.864977297406004e-12	-inf	-6.715849001059308e-12	inf	6.9519498727769e-310	0.0	8.66510820269e-312	0.0	6.3244936108728e-310	0.0	7.4e-323	0.0	2.3164910662874864e-152	1.6779200365728925e+243	9.750238216029356e+199	80.0
2224	NAM	-3.049106105675044e-08	inf	3.0442004431084384e-10	inf	3.04426289764757e-10	inf	inf	inf	2.152949024863e-312	9.279233746389736e+199	7.727819902446094e+228	2.59458115875878e+161	5.5199979851301406e+228	9.479058508652662e+179	1.6928021207302066e-307	0.0	0.0	1.4403395576571117e+214	1.8044389576457636e+219	80.0
2225	NaMN	2.7600031397547795e-14	inf	1.2403003555911015e-14	-inf	1.240300660564488e-14	inf	inf	-inf	-9.930935233718196e-150	1.0635294425628266e-94	3.483440164960454e+228	7928846488660339.0	4.443806195307074e+252	5.293695428895758e+180	0.0	0.0	8.65774282714e-312	4.810551760417881e+228	6.384817655096139e+20	80.0
2226	NMN	1.4423165122257503e-14	-inf	6.481534960762968e-15	-inf	6.481536554456337e-15	inf	inf	-inf	7.2020768756615385e+252	8288597344216406.0	3978982.7926151054	5.852818101132085e+63	2.3095566190001305e+161	7.053156512472963e+87	8.66510777408e-312	2.1219957905e-314	8.66510805439e-312	9.279233746389736e+199	7.727819902446094e+228	80.0
2227		4.795133815858587e-11	-inf	2.15485485931223e-11	-inf	2.154855389155409e-11	-inf	inf	-inf	7.932538912301001e+68	3.819482591556362e+180	1.1415631926304748e+243	6.384648614886652e+20	3.452272687346395e+132	2.5196941890073337e+180	8.66527599276e-312	8.6640703597e-312	-9.934403354902885e-150	1.0635294425628266e-94	3.483440164960454e+228	80.0
2228	NAD	3.653306692683668	inf	-0.0391199810521495	inf	-0.0391207311714399	inf	-inf	inf	1.0766265412448132e+277	2654876.714460901	9.040504396019611e+223	6.982031352718052e+252	1.4376319545062692e+180	6.964076089067324e+252	8.66552561227e-312	0.0	7.2020768756615385e+252	8288597344216406.0	3978982.7926151054	80.0
2229	NaAD	-4.6854507724483785	-inf	0.0501733487296523	-inf	0.0501731409316583	-inf	inf	inf	2.3164910662874864e-152	1.6779200365728925e+243	9.750238216029356e+199	5.5199979851301406e+228	4.880463037154749e+252	2.1739182640308068e-100	6.21648314439745e-310	0.0	7.932538912301001e+68	3.819482591556362e+180	1.1415631926304748e+243	80.0
2230	NR	2.157632324615173e-08	inf	-1.0232286365056362e-06	inf	1.0206882872217355e-07		-inf	-inf	1.4376469339394953e+180	2.1130967136856422e+214	2.1502896782180453e-13	4.443806195307074e+252	7.50048895508258e+247	7.2020768756615385e+252	0.0	0.0	1.0766265412448132e+277	2654876.714460901	9.040504396019611e+223	80.0
2231	NAR	-3.0133012018322245e-21	-inf	-1.3541283699009946e-21	inf	-1.3541287028589684e-21	-inf	-inf	inf	1.37947153028908e+219	6.384817653809667e+20	6.193442051059869e+175	2.3095566190001305e+161	1.1782872971038268e+180	7.932538912301001e+68	7.4e-323	0.0	2.3164910662874864e-152	1.6779200365728925e+243	9.750238216029356e+199	80.0
2232	NAM	-6.79607908800454e-05	inf	-5.772595223104589e-05	1.0113573062672945	-5.86901608214641e-05	inf	-5.739993126063856e-05	inf	6.9519498617786e-310	9.279233746389736e+199	7.727819902446094e+228	2.59458115875878e+161	5.5199979851301406e+228	9.479058508652662e+179	1.6928021207302066e-307	0.0	2.152949024863e-312	7.4e-323	4e-323	80.0
