Temperature	ET_NADS	ET_NAMPT	ET_NAPRT	ET_NMNAT1	ET_NRK1	ET_NT5	ET_PNCA	ET_PNP	ET_SIRT	Sol	objective
50.0	250719.5240117712	1000000.0	425.081042248664	105121.59157648636	58566.88921456339	100.0	1e-06	100.0	59361.083969377694	2.0000393631345745	min_ratio
50.0	13951.971044039568	953302.6544096172	100.0	42351.47871978337	48997.5422085168	113.09161788007476	1e-06	100.0	6233.152772800073	2.000217348580741	min_ratio
50.0	1633.7579215833175	1000000.0	62654.02941281144	6608.561949469795	100.0	100.0	0.0020579877190381	100.0	60700.85486156202	2.0000407999552	min_ratio
50.0	452313.7065531972	3.133518843653744e-05	168263.5365107728	415206.2459676553	677.8159089914814	100.76632502871816	2002.0051457960328	132.3695378941551	10403.298849649917	4.000527656667359	min_ratio
50.0	839.4106117188265	1000000.0	77909.64706871852	193618.68573112128	616.2954923006076	100.0	0.0010499311701246	326958.8662321999	61654.53327605325	2.00003734468204	min_ratio
50.0	82847.1709346192	1000000.0	2601.224473515153	10049.351318421624	213004.3477304532	100.0	7.147040289170209e-05	3611.39414346568	60897.02309330705	2.000039412603667	min_ratio
50.0	1000000.0	93.81184891450376	549698.8403407871	160591.84892458777	404.102343158677	105.2538176801835	44529.10005904141	326486.59360105696	206290.0393224742	3.9999916129089583	min_ratio
50.0	5757.291785039287	904708.6051602352	68560.14901737166	1000000.0	100.0	100.0	1e-06	994713.1213537046	5317.70249554154	2.000242519979518	min_ratio
50.0	3413.3151681901813	1000000.0	601.9004804351264	944235.9451321196	10515.116008006433	100.0	0.0003125660246821	717670.7017562496	61449.60107079965	2.00003733740149	min_ratio
50.0	1000000.0	1000000.0	100.0	935.597661632292	761262.1404623959	100.0	1e-06	100.0	43039.338720934	2.000080339964049	min_ratio
50.0	104177.62602571984	1000000.0	136998.5546283417	1000000.0	100.0	100.0	8.99827685563255e-06	773.0690357208725	61448.48777333548	2.000037284674366	min_ratio
