Temperature	ET_NADS	ET_NAMPT	ET_NAPRT	ET_NMNAT1	ET_NRK1	ET_NT5	ET_PNCA	ET_PNP	ET_SIRT	Sol
50.0	352223.5576922128	1712.636482141749	269.2404141699181	6802.790496926702	122921.59852427756	196.1927024787916	0.0002216666356871	53865.25026887465	100.0	9.170047034939803e-09
50.0	5983.259986130222	109.63155562654852	132416.8643877445	819.0259056994934	313.02624649641814	100.0	51.33561276884025	297392.6633977785	100.0	4.322524472790562e-08
50.0	71298.35941956822	1720.568266135459	1354.205334533361	288285.5039863694	1583.970693497504	100.0	1.9479144014993952e-05	498865.49126892345	100.0	9.130207841724777e-09
50.0	7210.409804834722	0.4173300073025988	138.59557108919742	4745.3009615094215	164456.89341036012	100.0	20.07507977052934	28634.14929539655	100.0	1.841253447944156e-08
50.0	3633.1964403442303	1709.5091255607597	387735.541025336	3568.803326102269	25697.76852460111	350.8141296016783	7.71247770452219e-05	541.455653884807	100.0	9.2253779477334e-09
50.0	126.14697887206538	1704.0197006551148	10182.128232024845	516317.9553126075	672164.1425745462	100.0	0.0654154421854203	1624.9475068178413	100.0	9.170627610612506e-09
50.0	21737.335447095706	1704.8911770255852	256.3916096401269	20417.764622046318	735723.5235499709	100.0	0.0296547142685738	606.396010682733	100.0	9.14243770794114e-09
50.0	58153.87698068843	1763.7062447386215	62365.21190305328	100.0	389.2787188340797	386.23019688784166	1e-06	462465.56143539335	100.0	9.259491653701876e-09
50.0	17395.67673133688	2284.2349352520614	100.0	8576.827089838838	33911.383661074986	126.69144573539197	1e-06	100.0	121.64247041199263	1.2224559933805808e-08
50.0	18908.695321048483	1718.4826487669018	303243.0214194085	8597.440980985379	4394.764220536787	192.47817963540749	0.1261328836058584	66800.37974665247	100.0	9.221100954661247e-09
50.0	1000000.0	0.0006592056578596	751570.3305174127	2015.8596686899384	1509.0337901976498	948.8788117888472	20.350464775634933	164.30111356600688	100.0	1.8940875946603183e-08
50.0	396687.9556656345	1723.5681002746992	303.16644962503284	100.0	3326.337441435876	100.0	6.124785736407545e-05	340309.1884904496	100.0	9.146444135272413e-09
50.0	5224.111668700546	2119.102372089045	19136.32197327452	100.0	100.0	100.0	1e-06	355.1263980344268	100.0	1.1263800952650897e-08
50.0	2485.1962243536545	4317.757524270215	23741.84597583547	3634.83566444274	49310.22227483419	880.6848179881142	0.0008164912750544	190.45293174146693	100.0	2.3497356679824613e-08
50.0	33688.41531895552	1720.1246285513853	100.0	76085.50433152326	154.4048993074788	100.0	6.847418384768052e-06	1000000.0	100.0	9.127347715218598e-09
50.0	909001.4570457631	1717.8960773215597	109532.18610387084	100.0	9488.74881635193	100.0	1e-06	18923.87820854294	100.0	9.15333468800331e-09
50.0	146888.36140527544	1709.0369902310647	1000000.0	5997.695233826814	70842.8636016743	100.0	1e-06	13976.352009750295	100.0	9.1323232613431e-09
50.0	124.383097151693	1686.4358041905643	100.0	34661.71854133923	191545.17278619268	100.0	0.3264979940824157	567.8188810059214	100.0	9.316547967345593e-09
50.0	24465.02602407136	1758.4019152780495	41754.59489823954	220916.0439789939	100.0	100.0	0.0170678876100487	878.7508712974178	100.0	9.359941769172971e-09
50.0	104.55162387626382	1717.0641202706065	100.0	4109.403598845708	94926.16331049762	100.0	0.0002550342673865	819.0662114770344	100.0	9.180093187055168e-09
50.0	858536.7162169192	1726.887129554255	933156.8305098768	1559.9084148848424	100.0	100.0	1e-06	326.564580447286	100.0	9.192522565954288e-09
50.0	596521.4942096667	1717.765657259334	1269.9825499962124	74955.532543917	2164.536260243458	100.0	0.0131508471188019	52322.04139978	100.0	9.133280421041933e-09
50.0	62135.81425655224	1723.703348737152	12285.723346089966	100.0	1697.4165796051534	100.0	1e-06	7770.659519051456	100.0	9.169928890213086e-09
50.0	5221.747437937262	1715.5290059450754	70373.62496349514	448992.4265837704	810234.4935897694	292.01802002191795	1e-06	122036.28238307986	100.0	9.227616209798838e-09
50.0	100.0	2023.4612956418928	455.6882417054933	217407.58611926	16030.8204735074	2283.398950275305	2.3594691596844766e-05	888673.3490060371	100.0	1.0044841609505581e-08
50.0	841.2042518114977	1715.181990746128	368526.8127309302	789411.4392423495	394778.4900711366	290.54206500823915	0.0629018692590183	49522.78331935783	100.0	9.285015779602557e-09
50.0	324.78013556939527	1719.849423944724	11715.469780347972	1000000.0	7246.218959415572	329.5748414955287	0.0120461328996791	6189.904475719502	100.0	9.227975277311986e-09
50.0	65785.744167822	1431.1286466230704	821746.1231557524	183.3440437161981	998.6583634430232	100.0	3.250855236153749	100.0	100.0	1.0632669710519678e-08
50.0	1432.1852404687363	1e-06	8099.529453297073	312505.5948193892	76905.7518705819	100.0	20.094435054314065	2405.295785439681	100.0	1.8432298540613992e-08
50.0	154.41173549490793	1709.2999783044477	851.8067105109687	5364.124154738851	18499.756107339024	100.0	0.00231561279975	100.0	100.0	9.140741846184724e-09
50.0	89528.6399943741	1709.6310723078725	1638.0373046726863	11584.484879337457	870.4695880455688	100.0	0.1461168360502642	2346.6592666084603	100.0	9.238166177064268e-09
50.0	141412.070484693	1774.4839543870676	498223.0230160396	477.6378050598217	39847.031592181054	100.0	0.0831105655923699	13191.53419215309	104.11088995012432	9.556409643010036e-09
50.0	454939.40974188194	0.4598113804455119	206591.33944593684	142.21955245502022	135939.72043404725	273.0288328123352	20.074742257132403	517.2439665202982	100.0	1.8506785604501493e-08
50.0	26775.650521366868	1715.673984023956	79947.50470243639	886.3525959883802	28266.88970467916	107.6809581155195	1e-06	3271.327869259012	100.0	9.172059444693331e-09
50.0	840455.1872498185	25850.592402376176	51731.35419533304	1185.454412325499	17945.80992935725	100.0	1e-06	297132.80574245047	100.0	4.3206558903802785e-08
50.0	1000000.0	1708.4826479149554	8293.768743120205	111086.48439444476	163896.4556836381	100.0	1e-06	672.6572328089972	100.0	9.134315551413637e-09
50.0	169098.63950155154	5.430721029195464e-06	149.36890936902154	30134.379831715934	695001.7039755605	100.0	19.932981893472515	13800.800285717522	100.0	1.8288255812387103e-08
50.0	768.4080821295162	1712.4884924250969	6846.86081440403	826537.9077410626	2081.431146520809	100.0	1e-06	281.13456240825064	100.0	9.152133351879096e-09
50.0	3323.12457478868	1719.8583273032705	15948.940584840511	297.36099082442973	100.0	100.0	1e-06	100.0	100.0	9.174167045167288e-09
50.0	1000000.0	1710.2551135356516	47161.88546343149	172.13972900327576	267263.2800966185	124.4669163360734	0.0002960377884891	127.11251106249892	100.0	9.152570490251493e-09
50.0	961548.2674229316	1713.333810651343	100.0	2192.4623641094404	201279.19118086848	100.0	0.0014931491287784	23754.74073113127	100.0	9.15848003120413e-09
50.0	52646.19240021719	1725.2628942104598	4110.26637323869	577.0583411106318	849.8419679694719	137.8652634249954	3.0534766874295155e-05	814464.2221475305	100.0	9.141809227006466e-09
50.0	24427.06844734333	3419.157318303944	171415.3716771408	5604.488373677121	168065.96666071878	1437.942895983527	1.366867567927766e-05	1124.180216987774	100.0	1.9116076869593384e-08
50.0	8657.97242125578	2236.209314484679	39850.86236753286	2827.9999175708635	453.076424135182	100.0	0.6047133689903832	210549.4960699716	100.0	1.2387433759042148e-08
50.0	300120.7938505177	1835.3142035126093	2015.8858525442536	252.15553077067952	847.8850448983787	1155.795072870066	1e-06	8701.399673296724	100.0	9.532517233919515e-09
50.0	13466.3651923565	2.8305759861615247e-05	4825.772863487056	37711.63182976262	591839.4681329313	131.96759130547375	19.97780323755434	281.2729216402281	100.0	1.8340106058385705e-08
50.0	37001.08766233285	4.007522163694535e-06	1233.4348564692375	915.2086908351243	314.32676604909693	100.0	20.12433975537053	663399.5650690349	100.0	1.8395449541759257e-08
50.0	76720.57744268053	1767.6548520468468	1391.6860311962844	221596.4052074933	1460.3106916950385	1077.5316700312908	1e-06	1582.243835391232	101.08054712147748	9.564635049245995e-09
50.0	11902.861195686106	2.003566266592461e-06	836.7701245755542	183.1205128517745	10808.201545904263	100.0	20.12057283785264	357598.09389141464	100.0	1.840333411028957e-08
50.0	422380.8597881818	4.013002425505725	292707.836663924	4107.405054316379	843.9702343353543	100.0	19.920309451815463	100.0	100.0	1.8295033778772408e-08
50.0	4140.459658730316	1708.8629981351514	3447.7716578119207	103500.59178694423	939640.4076745972	108.31714721224866	0.0015738726062595	164455.11799556634	100.0	9.135897211769629e-09
50.0	289351.4143271674	1789.0884214889847	821296.3151560545	471.40873080283103	874.8043994749294	1005.715220949294	1e-06	168.38813382177764	100.0	9.843651178780877e-09
50.0	100.0	1730.3928135968029	55723.38064227685	34991.779251581174	100.0	100.0	0.5704922304210075	733.8740981996027	100.0	9.719926008441772e-09
50.0	223385.46897325723	543.9228376939473	79561.58198745709	5792.45340093243	29966.60370135123	112.51718404635218	13.660908176890365	7475.926395912786	100.0	1.543832895287795e-08
50.0	100.0	1861.111820841783	37551.86001811104	2353.983947907456	1958.2086025647925	118.01658752378567	0.0004121182721157	100.0	100.0	9.952086968228145e-09
50.0	9536.62077512422	2380.0927486107275	1886.676792508684	1916.259666343024	5598.72446765005	100.0	0.1124738050316906	424.5922739617958	100.0	1.2802021879445374e-08
50.0	2981.169386921024	1723.4540173088567	363734.213782688	152341.1336622696	9884.61672637648	100.0	1e-06	100.0	100.0	9.213818557937226e-09
50.0	2365.3236025114124	1727.2576292673243	160151.39137949568	9523.526670765126	1201.9010785936914	154.00475548991025	1e-06	506982.9521161355	100.0	9.147376457346328e-09
