temperature	PNCA	NAPRT	NMNAT1-NaMN	NADS	SIRT	NAMPT	NMNAT1-NMN	NT5-NaMN	NT5-NMN	NRK1-NMN	PNP-NR	NRK1-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	pathway
50.0	4.604221789421178e-09	4.6042235529957425e-09	4.604221789421177e-09	4.604221789421178e-09	4.370966818855308e-09	2.681947510997299e-18	-6.538578504526863e-11	1.2360589558489435e-13	3.5087283082264754e-11	3.481501989922587e-11	2.5785477722810735e-13	1.2269683344892787e-13	9.086720094003506e-16	6.511352453517156e-11	8.544388048607715e-16	4.637495120466937e-19	1.440840581077812e-14	1.6786918552960536e-10	PNCA
50.0	4.812132068112229e-09	4.812184941071667e-09	4.812132068112228e-09	4.812132068112229e-09	4.560385027430662e-09	1.0053102786126127e-15	-7.316717576099733e-11	4.772199008893692e-13	3.732110929008772e-11	3.342078604245305e-11	3.874561559395252e-12	4.2764580817583545e-13	4.9571104249982574e-14	6.926785782631323e-11	3.298844900579523e-15	3.0103420975195733e-18	2.5761688239428913e-14	1.7857986491789742e-10	PNCA
50.0	4.638403505811725e-09	4.6393350599112346e-09	4.638403505811749e-09	4.638403505811724e-09	4.371096258795221e-09	2.681953070931649e-18	-9.984005284584451e-11	9.28346576664776e-13	3.500344432007688e-11	1.2101585477635646e-13	3.487972675454688e-11	3.209823806212333e-15	9.25136107237552e-13	6.495762710025695e-11	6.417346620882119e-15	6.544960646272655e-19	2.7017107536404094e-15	1.674671941328994e-10	PNCA
50.0	4.587690266018035e-09	4.587700553624689e-09	4.587690266017922e-09	4.587690266018035e-09	4.3565270379383074e-09	2.6819814315802993e-18	-6.462882162680556e-11	1.3193421569574025e-12	3.5056592588160626e-11	3.5023598736979024e-11	3.2729082916442506e-14	1.318114435675893e-12	1.2317584991765667e-15	6.4595831179831e-11	9.055757168907514e-15	9.10108781966064e-20	2.647682651478023e-16	1.6653440573069594e-10	PNCA
50.0	4.66320788361053e-09	4.663342791818026e-09	4.6632078836105314e-09	4.663207883610531e-09	4.393186244467161e-09	2.6819066791189635e-18	-1.0092127198586596e-10	1.3403457901835756e-13	3.534411440063079e-11	1.3949214359628343e-14	3.532985377055229e-11	5.2899799336869015e-17	1.3398166352237176e-13	6.559110944342825e-11	9.265282792147245e-16	1.0786478931436216e-20	3.1141571887443203e-16	1.691003671955764e-10	PNCA
50.0	4.642953344056323e-09	4.644126552157397e-09	4.642953344056324e-09	4.642953344056321e-09	4.398001060582703e-09	3.3147202631948077e-16	-7.573198764441423e-11	4.012514055047376e-12	3.5368042972128515e-11	2.5271329854522246e-11	1.0096656699531772e-11	2.8670436246051896e-12	1.1454698791155094e-12	6.563560599886006e-11	2.7738031737608358e-14	5.846015852872633e-20	5.641807448299124e-17	1.6922029582917862e-10	PNCA
50.0	4.589402220943331e-09	4.589404125041666e-09	4.5894022209433294e-09	4.58940222094333e-09	4.3556776437980406e-09	2.6819758567325083e-18	-6.673232448076766e-11	3.021622116072403e-14	3.490438139761084e-11	3.2945477355929866e-11	1.9582083229767888e-12	2.852102338002035e-14	1.695221728518719e-15	6.477342241027473e-11	2.0887261956823138e-16	5.500940393923915e-21	6.957187041772007e-16	1.6699225337530682e-10	PNCA
50.0	4.603566589698765e-09	4.603947956421606e-09	4.6035665896987635e-09	4.603566589698764e-09	4.35462578203876e-09	2.3680479721024185e-17	-8.229065979411301e-11	7.427153571833682e-13	3.483301218208643e-11	1.7183043334524352e-11	1.7640961338395284e-11	3.664827664378433e-13	3.762308386197429e-13	6.464071468123787e-11	5.134130880645219e-15	1.754577078518694e-18	9.007509166800752e-15	1.6665014781168455e-10	PNCA
50.0	5.498772622769483e-09	5.500762302615468e-09	5.4987726227695654e-09	5.4987726227694835e-09	5.195612774039837e-09	2.680305937312187e-18	-9.408877551218962e-11	6.799654069732752e-12	4.3677569879960516e-11	3.06838440677829e-11	1.2306080851231338e-11	4.856980764185777e-12	1.9416823479245445e-12	8.109505238205214e-11	4.700654038536466e-14	9.90957666581385e-16	6.876449609462809e-13	2.0907107321572312e-10	PNCA
50.0	4.579058274491361e-09	4.579063861189727e-09	4.579058274491362e-09	4.579058274491362e-09	4.347803592202469e-09	1.4866381690252362e-16	-6.4728915843805e-11	5.153626982497202e-13	3.4806945421277226e-11	3.467012594190102e-11	1.3670954244148604e-13	5.133389731510942e-13	2.024171873699408e-15	6.459224502611833e-11	3.5625133611681316e-15	1.486715347543351e-20	1.099369347143662e-16	1.6652576644721366e-10	PNCA
