Temperature	ET_NADS	ET_NAMPT	ET_NAPRT	ET_NMNAT1	ET_NRK1	ET_NT5	ET_PNCA	ET_PNP	ET_SIRT	Sol
50.0	100.0	411715.8910735546	204354.17780932668	30140.007146599157	185658.1283592946	2463.2658729849463	1e-06	128972.117988398	100.0	0.2727129572895447
50.0	100.0	743993.3594080264	1467.8626306639464	142181.181696488	76587.05721845178	944.2033057953128	1e-06	100.0	100.0	0.2727199124683697
50.0	568273.2873299981	1.0285347285127264	12662.9547229804	63939.6636784923	157704.0344663146	100.0	180464.3433306704	633.8854972485874	100.0	0.2726988364743282
50.0	132374.72185360634	617061.4101560188	67524.32251641084	88603.43047484962	31686.60413390949	100.0	1.395290739258506	366.3055163376879	100.0	0.2727186616202356
50.0	100.0	653709.4523391052	247392.93206934407	77783.91818995215	20328.347970617026	100.0	0.0004817389632924	100.0	100.29276956662048	0.2727189420042701
50.0	100.0	768235.9034591476	100.0	22555.38508892956	45670.73433240387	951.8071014755216	1e-06	91127.90582523552	100.0	0.2727180973374262
50.0	567966.3307349579	4.980152246867454e-06	19835.71697500937	130848.47870587037	4063.983134281813	100.0	107150.47479911886	166525.47089144235	100.0	0.2727006450346257
50.0	1756.49564204459	833291.6118652713	240.4527929275837	100085.65904755604	3307.9212038634946	100.0	1e-06	100.0	100.0	0.2727198281183692
50.0	4041.605917693487	775822.6887021109	2550.32789768358	117731.86066517662	4331.716980595504	100.0	0.000949052939386	88525.91510021695	100.0	0.272720441118296
50.0	718643.2859640764	644.1221770355925	40516.68258536443	90474.37474736758	23370.45572202998	100.0	54250.308201018895	53985.96741125282	100.0	0.2726959458023871
50.0	17394.689231164764	715552.6920882778	1453.9073477755317	182210.0226265634	7425.335884902863	100.0	0.0008901918668768	26746.53343482733	100.0	0.2727199598204477
50.0	98168.30109767606	770033.5570658306	181.32287099789005	87253.25256350932	11055.841587567757	100.0	0.0560116740285641	2080.636820205796	100.0	0.2727200474422978
50.0	52373.56008370732	829984.1222939797	47762.60808782818	7385.999451416626	2978.123608849953	269.8540732615493	1e-06	26630.748653483075	100.0	0.2727136179299901
50.0	100.0	881516.9670801213	401.3444432188711	75493.38093180362	27772.534979903765	100.0	1.874834191464114e-06	6564.235522664083	100.0	0.2727209485286173
50.0	548032.0628078446	1e-06	18440.84381796577	152140.22544133643	95777.23936291169	14530.765223392606	170012.55617977027	100.0	100.0	0.2726977199126517
50.0	17778.851002087766	860503.6424111525	1525.623949633365	89239.10866841243	13613.40565797333	100.0	6.933492756519625e-05	100.0	100.0	0.2727207732715664
50.0	122155.74491328874	599739.5673841051	1331.5482161432603	72198.68167874214	128438.0176024454	100.0	7.786987510747458	54670.17112643091	100.0	0.2727183760360498
50.0	690440.886696034	148.32326554685235	8827.074085715158	33514.914649642735	128424.14140343484	100.0	125034.41524291808	6575.7837630778085	100.0	0.2726915446849654
50.0	1379.619562374768	861164.3036532756	468.17249569820666	63087.42425602533	63817.56900395027	100.0	1.8414960212715563	8056.1494857443795	100.0	0.2727206642371755
50.0	11190.537758004211	864788.827102585	3914.513043317576	69120.71646251016	407.64761754220376	109.47416359725509	0.0086672711867955	40973.2241189054	100.0	0.2727206353369455
50.0	24518.994962360262	712803.426297408	138415.6836511127	80802.5272309893	41086.13322600619	162.1687206622124	1e-06	205.58580998744827	100.0	0.2727196516216301
50.0	467953.0479663058	11088.30279541914	4832.018604530013	240940.99030302573	1101.298861968433	100.0	89971.75208615785	98689.60466401208	100.0	0.2726944795057745
50.0	100.0	368518.0358061172	41608.72907576047	4675.844428984887	139.35462782678468	100.0	0.0010026316190554	8769.046168472974	100.0	0.2727017667097399
50.0	621559.5981779388	6.118665504479974e-05	5627.396260778735	146779.01652591015	25814.3150000117	100.0	140664.96559906175	3597.525918039134	102.57500185173308	0.2727000141419279
50.0	6423.571840152956	809218.9093032926	100.0	104071.9797958339	316.3962557937284	100.0	0.0002426020970522	76340.73801295982	100.0	0.2727206168781674
50.0	588406.9583837742	0.0026101791317722	60810.55792340082	164069.732940878	836.4275394528053	100.0	156825.36583503877	8773.590305730639	100.0	0.2727042304649817
50.0	368314.2807114856	645.7161111667781	2885.5861308844874	490305.7856358042	21482.06009119169	150.67386475507374	94056.33879369489	13590.737414052814	100.0	0.2726869286455128
50.0	5023.503586131299	912714.335965818	100.0	39085.2969721092	6659.656928154483	104.2859178359801	1.1273071743561274e-05	35292.476424635555	100.0	0.2727204217322944
