temperature	PNCA	NAPRT	NMNAT1-NaMN	NADS	SIRT	NAMPT	NMNAT1-NMN	NT5-NaMN	NT5-NMN	NRK1-NMN	PNP-NR	NRK1-NaMN	PNP-NAR	NMN thermolysis	NaMN thermolysis	NAR thermolysis	NR thermolysis	NAD thermolysis	pathway	objective
60.0	3.224132129410903e-13	2.1648872070358916e-11	3.2241321294109025e-13	3.224132129410903e-13	7.898946055947093e-19	3.884899947200742e-16	-2.7057537867887366e-13	2.1329642678439708e-11	2.622543080009504e-13	6.4451086338042134e-18	6.567303270011386e-19	7.27007191032709e-15	2.771078881883023e-15	8.716005781276984e-15	4.086250888447333e-15	2.1319601527647455e-11	2.622472061619896e-13	5.183704436761114e-14	PNCA	min_ratio
60.0	9.739912924930002e-10	9.739921606093814e-10	9.739912924929985e-10	9.739912924930002e-10	1.652339767332536e-11	1.7469864503478822e-14	-2.275328945174602e-10	6.244007848685425e-22	9.413470442213009e-19	9.233792784676999e-19	3.88623840588503e-22	2.9631622217973952e-21	1.2471099468276893e-24	2.2755036471021428e-10	8.681163789431232e-16	1.0800110135086726e-24	1.7579141913012598e-20	7.299349999559962e-10	PNCA	min_ratio
60.0	9.630804926339845e-12	1.7723869279326978e-11	9.630804926339844e-12	9.630804926339842e-12	9.63080593437084e-12	9.12846242156498e-17	4.294239846722142e-17	9.207657454317317e-12	3.3284280158375923e-19	1.3967441489150834e-19	2.4601589957354116e-21	8.81030866054419e-12	1.5995045128002875e-13	4.814905736173615e-17	7.695715565399147e-12	2.373983363080029e-13	1.907082276965155e-19	4.1934367467470366e-17	PNCA	min_ratio
60.0	9.184756771210438e-08	9.184829486107146e-08	9.184756771210438e-08	9.184756771210438e-08	9.078518842832412e-08	6.557310708907594e-18	-2.524757320131567e-10	2.1981927715289245e-16	4.3910592048608987e-16	2.240731807016625e-25	4.3909994210930834e-16	1.1232237288778615e-25	2.2010999833982622e-16	2.524752994674873e-10	7.269291478135914e-13	5.73718168483882e-23	5.97815270304018e-21	8.099035517641741e-10	PNCA	min_ratio
60.0	8.280934232780108e-10	1.015168027847846e-09	8.280934232780108e-10	8.280934232780109e-10	1.1703660192088902e-10	3.4888464654301593e-15	-4.8203834818822976e-11	5.345384566244506e-15	8.383589560918889e-18	3.929563838333495e-21	8.379349905250085e-18	2.505572823174996e-18	5.342850319400092e-15	4.8207315285628414e-11	1.870692616908528e-10	3.7853689419457975e-21	3.100918304671389e-22	6.62852986538299e-10	PNCA	min_ratio
60.0	5.579714104294161e-09	5.623358135168814e-09	5.579714104293653e-09	5.57971410429416e-09	4.7103312844148595e-09	6.451041357527405e-13	-2.061519947602826e-10	2.529795132831503e-12	6.999112182913027e-14	2.399706905846063e-14	2.0141593383059469e-19	2.439227576905896e-12	2.0710975262291516e-17	2.067511048409558e-10	4.355346331882298e-11	9.054684485498719e-14	4.599385135473579e-14	6.63230825121327e-10	PNCA	min_ratio
60.0	2.317072126290475e-05	2.3170770238969793e-05	2.317072126290484e-05	2.317072126290475e-05	2.3169854918416748e-05	5.681421966854943e-17	-2.0603784005057288e-10	6.8061976308948534e-12	1.9355255622404057e-13	1.6116558711772363e-20	1.9355040467213009e-13	5.6673833649713575e-19	6.806195799795322e-12	2.0584434439016428e-10	4.216986798075982e-11	1.4376461038306143e-18	2.13543535181335e-18	6.603066478842667e-10	PNCA	min_ratio
60.0	1.1319257299138509e-06	1.1320987074547769e-06	1.1319257299138513e-06	1.131925729913851e-06	1.1310324890716732e-06	1.4500969240419454e-13	-2.1206436870566194e-10	1.1825659414687456e-16	8.78013953757634e-19	8.240686999101286e-19	8.231331968295324e-23	1.1809899489120195e-16	1.1796492824565694e-20	2.1220937834404895e-10	1.7297754076617494e-10	1.4778421814278146e-19	5.386294052782243e-20	6.811764734721529e-10	PNCA	min_ratio
60.0	7.862969178076652e-09	7.862981523439587e-09	7.86296917807665e-09	7.862969178076652e-09	5.5016973686339975e-09	2.1671730658757652e-20	-5.611646443650397e-10	8.87948651842959e-21	2.313980479720198e-18	2.3120886959834073e-18	3.685063780786658e-28	-1.5499138376989967e-18	-2.47029076199457e-28	5.611646443317821e-10	1.2345362959963421e-14	-2.4278937475522433e-23	1.891783368269069e-21	1.800107165130652e-09	PNCA	min_ratio
60.0	2.8526430230841402e-05	2.85265789574948e-05	2.8526430230841405e-05	2.8526430230841402e-05	2.852556001866536e-05	8.360335103383853e-15	-2.0702449283354797e-10	2.8632924140146798e-11	2.9381149757845177e-13	2.5177202189938855e-19	2.6354375548106075e-13	2.7075745415695005e-17	2.8570077003158657e-11	2.0673904192440932e-10	1.200937563380839e-10	6.28200619621919e-14	3.026749032536915e-14	6.631876832032538e-10	PNCA	min_ratio
60.0	1.8157130533985293e-08	1.8189453434734747e-08	1.8157130533985287e-08	1.8157130533985296e-08	1.606558498359523e-08	9.55185690535549e-15	-4.951596307364366e-10	2.3024472117006713e-17	2.0431495091411758e-18	2.0431327892102305e-18	6.628451416666007e-27	2.091639017171707e-17	6.785818170873873e-26	4.951691825933299e-10	3.232290074944526e-11	3.2757264123453316e-24	1.6713302480137992e-23	1.5963859196536226e-09	PNCA	min_ratio
60.0	1.2102570988712014e-06	1.2103652902495852e-06	1.210257098871201e-06	1.210257098871201e-06	1.2093769975072951e-06	1.0215151345903024e-14	-2.0910590019384094e-10	3.100771571066508e-13	3.56001516477835e-15	3.3735155620916146e-15	9.492800021938899e-20	3.0974076356266903e-13	8.71622042187965e-18	2.0911592884545944e-10	1.0819104199105316e-10	3.276769724052216e-16	1.864046746865157e-16	6.709954637117947e-10	PNCA	min_ratio
60.0	4.8191228779090824e-09	4.915537021905932e-09	4.819122877909083e-09	4.819122877909083e-09	3.958936685631741e-09	5.06647633821029e-18	-1.935921438684025e-10	3.091878322605526e-13	3.683805389680946e-15	1.0287637359424437e-15	2.644467206870439e-15	8.658949245340278e-14	2.2258130266183613e-13	1.935894938932257e-10	9.619154565504939e-11	1.703975569871889e-17	1.0574446868061712e-17	6.665940484089396e-10	PNCA	min_ratio
60.0	1.8331282401134957e-09	1.891411898342945e-09	1.8331282401134944e-09	1.8331282401134953e-09	5.050450616969687e-16	1.0934773263552808e-20	-3.806073489248682e-10	4.119806112030326e-17	1.5721907358950236e-18	6.135266062181478e-29	1.5720648986700866e-18	1.6079827207469731e-27	4.1202014180871664e-17	3.8060734736360827e-10	5.82836170313889e-11	6.31411281081346e-23	1.2583723066701747e-22	1.4525203861435692e-09	PNCA	min_ratio
60.0	8.587925452483277e-06	8.588078114176904e-06	8.58792545248328e-06	8.587925452483279e-06	8.587046657333968e-06	3.0873209001420542e-15	-2.0883532592293003e-10	1.0497790108004544e-16	8.640948721251032e-19	1.4650402662446312e-22	4.524249496111741e-19	3.3401338430295946e-20	1.0314803424716707e-16	2.0883841238020505e-10	1.5266158868380465e-10	1.7962392097399007e-18	4.1152341848730433e-19	6.699598233844389e-10	PNCA	min_ratio
